url,pageType,claimArea,currentSources,recommendedSourceType,priority,humanReviewer
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,"Buddhist doctrine, terminology, or educational claim",https://www.dhammatalks.org/suttas/KN/Khp/khp5.html; https://www.dhammatalks.org/suttas/AN/AN4_28.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/eightfold-path-explained/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/equanimity-in-buddhism/,article,"Buddhist doctrine, terminology, or educational claim",https://www.dhammatalks.org/suttas/AN/AN8_6.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/five-precepts-in-daily-life/,article,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/four-noble-truths-explained-simply/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/four-noble-truths-explained/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/how-to-meditate-for-beginners/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/how-to-practice-non-attachment/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/impermanence-in-buddhism/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/letting-go-without-giving-up/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/loving-kindness-meditation-guide/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/metta-meditation-script/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/mindfulness-for-better-sleep/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/mindfulness-morning-routine/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/mindfulness-vs-meditation/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/right-livelihood-modern-life/,article,"Buddhist doctrine, terminology, or educational claim",https://www.dhammatalks.org/suttas/SN/SN45_8.html; https://www.accesstoinsight.org/tipitaka/dn/dn.31.0.ksw0.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/right-speech-buddhism/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/three-poisons-buddhism-explained/,article,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/an/an03/an03.069.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/three-ways-to-practice-patience/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/walking-meditation-step-by-step/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/what-is-karma-in-buddhism/,article,"Buddhist doctrine, terminology, or educational claim",Visible source note; external source review pending,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,article,"Buddhist doctrine, terminology, or educational claim",https://www.dhammatalks.org/suttas/SN/SN45_2.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn12/sn12.002.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.048.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-ajivo/index.html; https://www.accesstoinsight.org/tipitaka/an/an05/an05.177.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.059.than.html; https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html; https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/anatta/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.059.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/anicca/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/compassion/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/karma/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/karuna/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/metta/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/sangha/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/buddhist-dictionary/sati/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.08.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.03.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,learningDetail,"Buddhist doctrine, terminology, or educational claim",https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-vaca/index.html,"Primary Buddhist text, reputable Buddhist institution, university, or scholarly source",High,Editorial/Buddhist studies
https://echobuddha.com/meditation/5-minute-meditation-practice/,meditationDetail,Meditation or wellbeing-adjacent safety,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Primary Buddhist text plus appropriate health institution where wellbeing claims appear,High,Safety/editorial reviewer
https://echobuddha.com/meditation/breathing-meditation/,meditationDetail,Meditation or wellbeing-adjacent safety,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Primary Buddhist text plus appropriate health institution where wellbeing claims appear,High,Safety/editorial reviewer
https://echobuddha.com/meditation/loving-kindness-meditation/,meditationDetail,Meditation or wellbeing-adjacent safety,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Primary Buddhist text plus appropriate health institution where wellbeing claims appear,High,Safety/editorial reviewer
https://echobuddha.com/meditation/meditation-for-beginners/,meditationDetail,Meditation or wellbeing-adjacent safety,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,Primary Buddhist text plus appropriate health institution where wellbeing claims appear,High,Safety/editorial reviewer
https://echobuddha.com/meditation/mindfulness-in-daily-life/,meditationDetail,Meditation or wellbeing-adjacent safety,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Primary Buddhist text plus appropriate health institution where wellbeing claims appear,High,Safety/editorial reviewer
https://echobuddha.com/meditation/walking-meditation/,meditationDetail,Meditation or wellbeing-adjacent safety,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Primary Buddhist text plus appropriate health institution where wellbeing claims appear,High,Safety/editorial reviewer
